pair,regime,regime_label,start,end,days,mean_basis_rate,min_basis_rate,max_basis_rate
IF+300ETF,0,neutral,2019-11-22,2019-11-22,1,-0.012587541779899722,-0.012587541779899722,-0.012587541779899722
IF+300ETF,1,premium,2019-11-25,2019-11-25,1,0.004515082275506881,0.004515082275506881,0.004515082275506881
IF+300ETF,0,neutral,2019-11-26,2019-11-26,1,-0.03934543407293961,-0.03934543407293961,-0.03934543407293961
IF+300ETF,1,premium,2019-11-27,2020-01-14,34,0.08585644203442933,0.0168401488669242,0.28154344173629203
IF+300ETF,0,neutral,2020-01-15,2020-01-15,1,-0.13210130512216983,-0.13210130512216983,-0.13210130512216983
IF+300ETF,1,premium,2020-01-16,2020-01-22,5,0.1953979686968431,0.03586181074164961,0.7578504298732192
IF+300ETF,0,neutral,2020-01-23,2020-02-04,3,-0.20112618233487692,-0.5114492794426416,-0.007792987447528422
IF+300ETF,-1,discount,2020-02-05,2020-02-14,8,-0.09524074650569518,-0.18578643899658212,-0.024556818651387792
IF+300ETF,0,neutral,2020-02-17,2020-02-17,1,0.04053893852842188,0.04053893852842188,0.04053893852842188
IF+300ETF,-1,discount,2020-02-18,2020-02-18,1,-0.009538735668891733,-0.009538735668891733,-0.009538735668891733
IF+300ETF,0,neutral,2020-02-19,2020-03-02,9,3.2466213083534897e-07,-0.04367686841238787,0.0513212166927916
IF+300ETF,-1,discount,2020-03-03,2020-03-11,7,-0.10232045982039487,-0.24968493416744503,-0.02665066296574304
IF+300ETF,0,neutral,2020-03-12,2020-03-17,4,-0.4331123768823681,-0.88547060973549,0.007528145786568321
IF+300ETF,-1,discount,2020-03-18,2020-05-13,37,-0.20908555866607023,-1.2953627765842697,-0.02755761329808406
IF+300ETF,0,neutral,2020-05-14,2020-05-14,1,0.28185641893701335,0.28185641893701335,0.28185641893701335
IF+300ETF,-1,discount,2020-05-15,2020-07-03,34,-0.18019090919358993,-0.5681243013780642,-0.04847622066101097
IF+300ETF,0,neutral,2020-07-06,2020-07-07,2,0.3038202552188532,0.13145437192482012,0.47618613851288627
IF+300ETF,-1,discount,2020-07-08,2020-07-28,15,-0.21481041383997,-1.6147136798107031,-0.01928020564515255
IF+300ETF,0,neutral,2020-07-29,2020-07-31,3,-0.05463785978175845,-0.1095498469841974,-0.000719216811987302
IF+300ETF,-1,discount,2020-08-03,2020-08-13,9,-0.1522418275454371,-0.26795387931364395,-0.06493737428118915
IF+300ETF,0,neutral,2020-08-14,2020-08-14,1,0.16267598542268785,0.16267598542268785,0.16267598542268785
IF+300ETF,-1,discount,2020-08-17,2020-08-19,3,-0.22025372094528275,-0.41366711927843125,-0.03620860534374247
IF+300ETF,0,neutral,2020-08-20,2020-08-20,1,0.304925784490353,0.304925784490353,0.304925784490353
IF+300ETF,-1,discount,2020-08-21,2020-08-27,5,-0.07564813383764775,-0.11681721479361315,-0.05057981827982504
IF+300ETF,0,neutral,2020-08-28,2020-08-28,1,0.018223818639729283,0.018223818639729283,0.018223818639729283
IF+300ETF,-1,discount,2020-08-31,2020-09-17,14,-0.15493651292390312,-0.5401516279609156,-0.04540599845221385
IF+300ETF,0,neutral,2020-09-18,2020-09-18,1,0.014060299939514987,0.014060299939514987,0.014060299939514987
IF+300ETF,-1,discount,2020-09-21,2020-09-25,5,-0.03943400281714269,-0.08576663451052373,-0.004803480270533657
IF+300ETF,0,neutral,2020-09-28,2020-10-09,4,-0.08914022621600676,-0.21066197009027862,-0.0013524300866331607
IF+300ETF,-1,discount,2020-10-12,2020-10-13,2,-0.10129185622384468,-0.15564578898607384,-0.0469379234616155
IF+300ETF,0,neutral,2020-10-14,2020-10-15,2,0.2905758180033532,0.2669737017446824,0.314177934262024
IF+300ETF,-1,discount,2020-10-16,2020-10-22,5,-0.04317166605631685,-0.0569677688555429,-0.032509016294364035
IF+300ETF,0,neutral,2020-10-23,2020-10-27,3,-0.02863751600523562,-0.04566360991505822,-0.00028894259732525907
IF+300ETF,-1,discount,2020-10-28,2020-10-28,1,-0.023358949097016114,-0.023358949097016114,-0.023358949097016114
